Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
nutriologo,"Informational, Commercial",60500.0,40.0,0.43,"Image, Video, People also ask, Local pack, Knowledge panel, Related searches"
nutriologa,Commercial,60500.0,41.0,0.43,"Image, Video, Local pack, Knowledge panel, Related searches"
nutricion,Informational,49500.0,58.0,0.59,"AI Overview, Video, Video carousel, Knowledge panel, Related searches"
que es la nutricion,Informational,33100.0,44.0,0.0,"Sitelinks, AI Overview, Video, Related searches"
instituto nacional de ciencias médicas y nutrición salvador zubirán,Navigational,22200.0,42.0,0.0,"Sitelinks, Image, Video, Knowledge panel, Related searches"
nutricion parenteral,Informational,18100.0,38.0,0.15,"AI Overview, Image, Video, People also ask, Knowledge panel, Related searches"
nutriologo cerca de mi,Transactional,14800.0,25.0,0.37,"Image, Video, People also ask, Local pack, Related searches"
instituto nacional de ciencias médicas y nutrición,Navigational,14800.0,43.0,0.0,"Sitelinks, Image, Video, Knowledge panel, Related searches"
dia del nutriologo,Informational,12100.0,28.0,0.0,"AI Overview, Instant answer, Image, Video, Short videos, People also ask, Related searches"
club de nutricion herbalife,Commercial,12100.0,34.0,0.0,"Image, Video, Local pack, Related searches, See results about"
nutriologos,Commercial,9900.0,43.0,0.21,"Image, Video, Local pack, Related searches"
nutricion enteral,Informational,8100.0,41.0,0.09,"AI Overview, Image, Video, Video carousel, Knowledge panel, Related searches"
hospital de nutricion salvador zubiran,"Navigational, Commercial",6600.0,38.0,0.54,"Sitelinks, Video, People also ask, Local pack, Related searches"
club de nutricion,Commercial,6600.0,32.0,0.0,"Image, Image pack, Video, Local pack, Related searches"
piramide nutricional,Informational,5400.0,42.0,0.0,"AI Overview, Image, Video, Video carousel, Knowledge panel, Related searches"
tabla nutricional,Informational,5400.0,35.0,0.43,"Image, Image pack, Video, People also ask, Related searches"
hospital de nutricion,Navigational,5400.0,36.0,0.62,"Sitelinks, Image, Video, Knowledge panel, Related searches"
instituto nacional de nutricion,Navigational,4400.0,36.0,0.0,"Sitelinks, Image, Video, People also ask, Knowledge panel, Related searches"
facultad de salud pública y nutrición,"Navigational, Transactional",4400.0,42.0,0.0,"Sitelinks, Image, Video, People also ask, Knowledge panel, Related searches"
levadura nutricional,Informational,4400.0,26.0,0.04,"AI Overview, Image, Video, Video carousel, People also ask, Related searches, Popular products"
nutricion deportiva,"Informational, Commercial",3600.0,39.0,0.56,"Sitelinks, AI Overview, Image, Video, Local pack, Related searches"
contenido nutricional del maiz,Informational,3600.0,17.0,0.0,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
nutricionista,Informational,3600.0,40.0,0.44,"AI Overview, Image, Video, Local pack, Related searches"
nutriologo deportivo,Commercial,3600.0,25.0,0.41,"Image, Video, Local pack, Related searches"
agencia española de seguridad alimentaria y nutrición,"Informational, Navigational",3600.0,52.0,0.0,"Sitelinks, AI Overview, Video, People also ask, Knowledge panel, Related searches"
