Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
quimioterapia alimentos prohibidos,Informational,590,18.0,1.61,"AI Overview, Image, Image pack, People also ask, Related searches"
que puede comer una persona con cancer,Informational,390,20.0,0.36,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches, Ads bottom, Ads middle"
dieta para personas con cancer,Informational,260,30.0,0.56,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Related searches"
de que se alimenta el cancer,Informational,260,31.0,0.0,"AI Overview, Image, Video, Video carousel, People also ask, Related searches"
dieta para personas con cancer de mama,Informational,170,29.0,0.06,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Ads bottom, Ads middle"
alimentos para personas con cancer,Informational,170,29.0,0.39,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Ads bottom"
alimentos que causan cancer,Informational,170,31.0,0.0,"AI Overview, Image, Video, People also ask, Related searches"
alimentos contra el cancer,Informational,170,19.0,0.27,"Image, Video, Video carousel, People also ask, Related searches, Ads top, Ads bottom"
el cancer se alimenta de azucar,Informational,170,27.0,0.0,"AI Overview, Image, Video, Knowledge panel, Related searches"
alimentos que combaten el cancer,Informational,170,,0.52,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Related searches, Ads bottom, Ads middle"
alimentos q producen cancer,Informational,170,24.0,0.0,"AI Overview, Image, Video, Related searches"
alimentos q causan cancer,Informational,140,25.0,0.0,"AI Overview, Image, Related searches"
alimentos que previenen el cancer,Informational,140,31.0,0.0,"AI Overview, Image, Video, Related searches"
alimentos alcalinos contra el cancer,"Informational, Transactional",140,36.0,0.7,"Sitelinks, Image, People also ask, Related searches, Ads top, Ads bottom"
dieta para cancer,Informational,140,31.0,0.3,"Sitelinks, AI Overview, Image, Image pack, Related searches"
nutricion y cancer,Informational,140,15.0,0.0,"AI Overview, Image, Image pack, Video, Related searches"
alimentos para el cancer,"Informational, Commercial",140,34.0,0.23,"Sitelinks, Image, Image pack, Video, Related searches"
7 alimentos que causan cancer,Informational,110,30.0,0.0,"Featured snippet, Sitelinks, Image, People also ask, Related searches"
dieta para pacientes con cancer,Informational,110,29.0,0.66,"AI Overview, Image, Image pack, Video, Related searches, Ads bottom, Ads middle"
cancer tratamiento nutricional,Informational,110,28.0,0.84,"Sitelinks, AI Overview, Image, Video, Related searches, Ads bottom"
dieta alcalina cancer,"Informational, Transactional",110,27.0,0.42,Image
qué alimentos no debe consumir una persona con cáncer,Informational,110,19.0,0.0,"AI Overview, Image, Related searches"
alimentos que producen cancer,Informational,110,20.0,0.0,"AI Overview, Image, Video, Related searches"
alimentos para prevenir el cancer,Informational,110,31.0,0.23,"AI Overview, Image, People also ask, Related searches"
que puede comer una persona con cancer terminal,Informational,90,27.0,0.0,"AI Overview, Image, Image pack, Video, Video carousel, Related searches"
nutrición en cáncer,Informational,90,,0.0,"Sitelinks, AI Overview, Image, Video, Related searches"
cáncer por mala alimentación,Informational,90,25.0,0.0,"AI Overview, Image, Video, Related searches"
cancer de prostata alimentos prohibidos,Informational,90,11.0,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches"
alimentos que provocan cancer,Informational,90,30.0,0.0,"AI Overview, Image, Video, Related searches"
alimentos prohibidos para cancer de higado,Informational,70,18.0,1.57,"Sitelinks, AI Overview, Image, Related searches"
vitaminas que alimentan el cáncer,Informational,50,22.0,0.0,"AI Overview, Image, People also ask, Related searches"
nutricion y cancer de mama,Informational,50,18.0,0.0,"Sitelinks, AI Overview, Image, Video, Video carousel, Related searches"
dieta cetogenica para cancer,"Informational, Commercial",40,15.0,0.0,"Sitelinks, AI Overview, Image, People also ask, Related searches"
alimentos para subir las defensas quimioterapia,"Informational, Transactional",40,18.0,0.0,"Featured snippet, Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Related searches"
prostate cancer diet,,40,,0.0,
cancer de estomago tratamiento nutricional,Informational,40,18.0,0.0,"Image, Video, People also ask, Related searches"
alimentos para el cancer de pulmon,Informational,40,17.0,0.0,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Related searches"
alimentos que pueden causar cancer,Informational,40,19.0,0.0,"AI Overview, Image, Related searches"
alimentos que debe consumir una persona con cancer,Informational,40,22.0,0.0,"AI Overview, Image, Image pack, Video, Video carousel, Related searches"
que alimentos no debo comer durante la quimioterapia,,30,,0.0,
dieta para cancer de pancreas,Informational,30,17.0,0.13,"Image, Video, Video carousel, Related searches"
frutas que pueden comer personas con cancer,,30,,0.0,
que deben comer las personas con cancer,,30,,0.0,
alkaline diet cancer,"Informational, Commercial",30,44.0,0.0,"AI Overview, Image, People also ask, Related searches"
que frutas puede comer una persona con cancer,,30,,0.0,
que no comer con cancer,,30,,0.0,
que alimentos puedo comer despues de una quimioterapia,,30,,0.0,
cancer de mama tratamiento nutricional,Informational,30,17.0,0.64,"Sitelinks, AI Overview, Image, Video, Related searches"
que alimentos debo comer despues de una quimioterapia,,30,,0.0,
dieta para evitar cancer de mama,Informational,30,31.0,0.09,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Related searches"
alimentos durante la quimioterapia,Informational,30,24.0,0.0,"AI Overview, Image, People also ask, Related searches"
que puede comer un paciente con cancer de estomago,,30,,0.0,
sustancias que producen cancer en los alimentos,,30,,0.0,
que alimentos no debe comer una persona con cancer,,30,,0.0,
los alimentos transgenicos causan cancer,,30,,0.0,
el azúcar alimenta el cáncer,,30,,0.0,
cáncer de esófago alimentación,,30,,0.0,
alimentación antes de la quimioterapia,,30,,0.0,
alertan por riesgo de cancer en esta dieta,Informational,30,17.0,0.0,"AI Overview, Image, People also ask, Related searches"
tratamiento nutricional en cancer de pancreas,,30,,0.0,
dieta para personas con cancer de estomago,,30,,0.0,
importancia de la nutrición en pacientes con cáncer,,30,,0.0,
libro nutricion y cancer pdf gratis,,30,,0.0,
cancer de estomago alimentos permitidos,,30,,0.0,
keto diet cancer,,30,,0.0,
does diet coke give you cancer,,30,,0.0,
dieta para una persona con cancer de colon,,30,,0.0,
nutricion en pacientes con cancer,,30,,0.0,
dieta para prevenir cancer de colon,,30,,0.0,
dieta para enfermos de cancer,,30,,0.0,
tratamiento nutricional cancer de colon,,30,,0.0,
dieta para cáncer de colon,,30,,0.0,
