Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
alimentos alcalinos contra el cancer,"Informational, Transactional",140,36,0.70,"Sitelinks, Image, People also ask, Related searches, Ads top, Ads bottom"
alimentos contra el cancer,Informational,170,19,0.27,"Image, Video, Video carousel, People also ask, Related searches, Ads top, Ads bottom"
alimentos para personas con cancer,Informational,170,29,0.39,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Ads bottom"
de que se alimenta el cancer,Informational,260,31,0.00,"AI Overview, Image, Video, Video carousel, People also ask, Related searches"
alimentos para el cancer,"Informational, Commercial",140,34,0.23,"Sitelinks, Image, Image pack, Video, Related searches"
alimentos que causan cancer,Informational,170,31,0.00,"AI Overview, Image, Video, People also ask, Related searches"
alimentos que debe consumir una persona con cancer,Informational,40,22,0.00,"AI Overview, Image, Image pack, Video, Video carousel, Related searches"
alimentos para evitar cancer de colon,Informational,30,27,0.00,"AI Overview, Image, Image pack, People also ask, Related searches"
alimentos que alimentan el cancer,Informational,30,21,0.00,"AI Overview, Image, Related searches"
alimentos recomendados para pacientes con cancer,Informational,30,29,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches"
alimentos para prevenir el cancer,Informational,110,31,0.23,"AI Overview, Image, People also ask, Related searches"
alimentos q producen cancer,Informational,170,24,0.00,"AI Overview, Image, Video, Related searches"
alimentos que producen cancer,Informational,110,20,0.00,"AI Overview, Image, Video, Related searches"
alimentos que provocan cancer,Informational,90,30,0.00,"AI Overview, Image, Video, Related searches"
qué alimentos no debe consumir una persona con cáncer,Informational,110,19,0.00,"AI Overview, Image, Related searches"
alimentos que previenen el cancer,Informational,140,31,0.00,"AI Overview, Image, Video, Related searches"
cancer de prostata alimentos prohibidos,Informational,90,11,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches"
alimentos prohibidos para cancer de higado,Informational,70,18,1.57,"Sitelinks, AI Overview, Image, Related searches"
vitaminas que alimentan el cáncer,Informational,50,22,0.00,"AI Overview, Image, People also ask, Related searches"
alimentos que pueden causar cancer,Informational,40,19,0.00,"AI Overview, Image, Related searches"
el cancer se alimenta de azucar,Informational,170,27,0.00,"AI Overview, Image, Video, Knowledge panel, Related searches"
alimentos para pacientes con cancer,Informational,30,34,0.76,"Featured snippet, Image, Image pack, Video, People also ask, Related searches"
alimentos para cancer de mama,"Informational, Commercial",30,30,0.14,"Sitelinks, AI Overview, Image, Video, Related searches"
alimentos cancer de mama,Informational,30,33,0.09,"Sitelinks, Image, Video, People also ask, Related searches"
alimentos q causan cancer,Informational,140,25,0.00,"AI Overview, Image, Related searches"
cáncer por mala alimentación,Informational,90,25,0.00,"AI Overview, Image, Video, Related searches"
7 alimentos que causan cancer,Informational,110,30,0.00,"Featured snippet, Sitelinks, Image, People also ask, Related searches"
alimentos alcalinos cancer,Informational,30,13,0.00,
alimentos alcalinos para el cancer,Informational,30,19,0.00,"Sitelinks, AI Overview"
alimentos buenos para el cancer,Informational,30,28,0.00,"AI Overview, Image, Video, Video carousel, Related searches"
alimentos prohibidos para cancer de mama,"Informational, Commercial",30,21,0.00,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches"
alimentos para cancer de pancreas,Informational,30,17,0.00,"AI Overview, Image, Video, Video carousel, Related searches"
