Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
colesterol,Informational,40500,78.0,0.01,"AI Overview, Image, Video, Video carousel, People also ask, Knowledge panel, Related searches"
como bajar los trigliceridos,Informational,18100,44.0,0.03,"AI Overview, Image, Image pack, People also ask, Related searches"
colesterol alto,Informational,14800,61.0,0.03,"AI Overview, Image, Video, Video carousel, People also ask, Related searches"
como bajar el colesterol,Informational,14800,44.0,0.03,"AI Overview, Image, Video, Video carousel, People also ask, Related searches"
hipercolesterolemia,Informational,8100,50.0,0.05,"Image, People also ask, Knowledge panel, Related searches"
para bajar los trigliceridos urgentemente,Informational,5400,37.0,0.07,"Sitelinks, AI Overview, Image, Video, Video carousel, Related searches"
colesterol total,Informational,4400,44.0,0.06,"AI Overview, Image, Video, People also ask, Related searches"
como bajar el colesterol alto,Informational,4400,41.0,0.04,"AI Overview, Video, People also ask, Related searches"
sd ldl alto,Informational,3600,53.0,0.32,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
es malo,"Informational, Transactional",3600,33.0,0.0,"AI Overview, Image pack, Video, Video carousel, Related searches"
lipidemia,Informational,3600,45.0,0.0,"AI Overview, Image, Image pack, People also ask, Related searches"
sd ldl,Informational,2900,32.0,0.75,"AI Overview, Image pack, Related searches"
colesterol malo,Informational,2900,58.0,0.02,"Sitelinks, AI Overview, Image, Video, Video carousel, Knowledge panel, Related searches"
te para bajar colesterol y trigliceridos,Informational,2900,31.0,0.02,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
colesterol de alta densidad,Informational,2900,49.0,0.02,"AI Overview, Image, Video, Video carousel, People also ask, Knowledge panel, Related searches"
que es el colesterol ldl,Informational,2400,47.0,0.02,"Sitelinks, AI Overview, Image, Video, Video carousel, Related searches"
menú semanal para bajar triglicéridos y colesterol altos,Informational,2400,31.0,0.09,"AI Overview, Image, Image pack, Video, Video carousel, Related searches, Ads bottom"
remedios caseros para bajar los trigliceridos,Informational,1900,35.0,0.02,"Sitelinks, AI Overview, Video, Video carousel"
alimentos para bajar el colesterol,Informational,1900,35.0,0.03,"Sitelinks, AI Overview, Image, Video, Video carousel, Knowledge panel, Related searches"
