Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
como bajar la glucosa,Informational,12100,48.0,0.08,"Featured snippet, Image, Video, People also ask, Related searches"
dieta para diabeticos,Informational,12100,70.0,0.05,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches, Ads bottom"
comida para diabeticos,Informational,9900,48.0,0.07,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
que frutas puede comer un diabetico,Informational,9900,40.0,0.03,"AI Overview, Image, Video, People also ask, Related searches"
licuados cerca de mi,Transactional,5400,32.0,0.0,"Sitelinks, Image, Video, Local pack, Related searches"
desayuno para diabeticos,Informational,5400,19.0,0.1,"AI Overview, Image, Image pack, Video, Video carousel, Related searches"
tabla de alimentos para diabéticos,Informational,4400,59.0,0.04,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
que puede comer un diabetico,Informational,3600,52.0,0.03,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
cena para diabeticos,Informational,3600,31.0,0.05,"Sitelinks, AI Overview, Image, Video, Recipes, Related searches"
recetas para diabeticos,Informational,3600,34.0,0.08,"Image, Video, Recipes, Related searches, See results about"
como bajar el azucar,Informational,3600,32.0,0.09,"AI Overview, Image, Video, People also ask, Related searches"
alimentos para diabeticos,Informational,2900,76.0,0.03,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches, Ads bottom"
comidas ricas y saludables,Informational,2900,44.0,0.12,"Image, Image pack, Video, Video carousel, Short videos, Recipes, Related searches"
dieta para diabeticos tipo 2,Informational,2400,69.0,0.12,"AI Overview, Image, Image pack, Video, Related searches"
recetas de comidas para diabeticos,Informational,2400,40.0,0.1,"Image, Video, Recipes, Related searches"
menu para diabeticos,Informational,1900,69.0,0.08,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches"
comida balanceada,Informational,1900,,0.11,"AI Overview, Image, Image pack, Video, Related searches"
frutas prohibidas para resistencia ala insulina,Informational,1900,28.0,0.14,"AI Overview, Image, Image pack, Video, Related searches"
como controlar la diabetes,Informational,1900,39.0,0.1,"AI Overview, Image, Video, Related searches"
ejemplos de recetas,Informational,1900,41.0,0.0,"Image, Image pack, Video, Short videos, Recipes, Related searches"
bebidas para diabeticos,Informational,1900,19.0,0.16,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches"
pan para diabeticos,Informational,1600,31.0,0.06,"AI Overview, Image, Image pack, Video, Video carousel, Recipes, Related searches"
lista de comidas para diabeticos,Informational,1600,49.0,0.11,"Sitelinks, AI Overview, Image, Image pack, Video, Recipes, Related searches"
tabla de alimentos para diabéticos tipo 2,Informational,1600,65.0,0.06,"AI Overview, Image, Image pack, Video, Related searches"
glucosa alta como bajarla,Informational,1600,40.0,0.08,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
como curar la diabetes,Informational,1600,26.0,0.03,"AI Overview, Image, Video, Video carousel, Related searches"
como bajar la glucosa rapido,Informational,1600,27.0,0.04,"AI Overview, Image, Image pack, Video, Related searches"
como bajar los niveles de glucosa,Informational,1600,44.0,0.05,"Sitelinks, AI Overview, Image, Video, Related searches, Ads bottom"
