Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
alimentos para diabeticos tipo 2,Informational,170,58,0.03,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches, Ads bottom"
tabla de alimentos para diabéticos pdf,Informational,590,29,0.00,"Image, Image pack, People also ask, Related searches"
alimentación para prevenir diabetes,Informational,140,35,0.02,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
lista de alimentos para diabéticos,Informational,110,34,0.03,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
alimentación para la diabetes tipo 2,Informational,170,75,0.03,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Related searches"
alimentos permitidos para diabeticos,Informational,210,52,0.02,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches"
alimentos recomendados para diabéticos,Informational,140,68,0.02,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches, Ads bottom"
lista de alimentos para diabeticos,Informational,110,58,0.03,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Related searches"
alimentos no recomendados para neuropatía diabética,Informational,40,27,0.00,"AI Overview, Image, Video, Related searches"
alimentos para diabeticos e hipertensos,Informational,110,54,0.04,"Featured snippet, Image, Image pack, Video, People also ask, Related searches"
alimentos malos para la diabetes,Informational,110,31,0.02,"AI Overview, Image, Video, Related searches"
alimentos sanos para diabeticos,Informational,30,44,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches"
alimento para perros diabeticos,Informational,210,21,0.30,"Sitelinks, Image pack, Video, People also ask, Related searches, Popular products"
tabla de alimentos para diabeticos tipo 2,Informational,1600,59,0.10,"AI Overview, Image, Image pack, Video, Related searches"
alimentos para prevenir la diabetes,Informational,140,42,0.02,"Sitelinks, AI Overview, Image, Video, Video carousel, Related searches"
alimentos para diabeticos,Informational,2900,76,0.03,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches, Ads bottom"
alimentos prohibidos para diabeticos,Informational,390,40,0.02,"AI Overview, Image, Image pack, Video, Related searches"
alimentos saludables para diabetes,Informational,110,45,0.04,"Sitelinks, AI Overview, Image, Video, Video carousel, Related searches"
alimentos para diabeticos tipo 2 e hipertensos,Informational,90,46,0.02,"Sitelinks, AI Overview, Image, Video, Video carousel, Related searches"
lista de alimentos para diabéticos e hipertensos,Informational,90,,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Related searches"
alimentos prohibidos para diabeticos tipo 2,Informational,390,35,0.03,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches"
