Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
alimentos que debe ingerir un diabetico,Informational,70,54,0.00,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches"
que es recomendable para bajar la glucosa,Informational,90,45,0.00,"AI Overview, Image, Video, People also ask, Related searches, Ads bottom, Ads middle"
frutas diabeticos,Informational,260,34,0.07,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
que pan puede comer un diabetico,Informational,590,16,0.08,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches, Ads bottom"
comida completa,Informational,480,39,0.00,"Image, Image pack, Video, Video carousel, People also ask, Related searches"
régimen alimenticio,Informational,590,44,0.32,"AI Overview, Image pack, Video, People also ask, Knowledge panel, Related searches"
como bajar la hiperglucemia,Informational,110,25,0.00,"AI Overview, Image, Video, People also ask, Related searches"
como se puede bajar el azucar en la sangre,Informational,260,45,0.05,"Featured snippet, Sitelinks, Image, Video, Video carousel, People also ask, Related searches"
dieta para higado graso y diabetes,Informational,110,37,0.18,"Sitelinks, AI Overview, Image, People also ask, Related searches"
alimentos que bajan la glucosa,Informational,590,39,0.02,"AI Overview, Image, Video, People also ask, Related searches, Ads bottom, Ads middle"
dieta hipoglucemia,Informational,170,30,0.00,"AI Overview, Image pack, Video, People also ask, Related searches, See results about"
alimentos para diabeticos tipo 2,Informational,170,58,0.03,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches, Ads bottom"
ejemplo de un recetario,Informational,140,33,0.00,"Image, Image pack, Video, People also ask, Related searches"
recetas para diabeticos e hipertensos,Informational,210,35,0.07,"Image, Image pack, Video, People also ask, Recipes, Related searches"
alimentos para imprimir,Informational,140,31,0.00,"Image, Image pack, Video, Related searches"
desayuno para resistencia a la insulina,Informational,210,21,0.11,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
desayunos para resistencia ala insulina,Informational,210,22,0.11,"Featured snippet, Image, Image pack, Video, People also ask, Related searches"
cómo controlar el azúcar,Informational,110,41,0.06,"Featured snippet, Image, Image pack, Video, Video carousel, People also ask, Related searches"
tabla de alimentos para diabéticos pdf,Informational,590,29,0.00,"Image, Image pack, People also ask, Related searches"
recomendaciones para la diabetes,Informational,320,54,0.26,"AI Overview, Image, Image pack, Video, People also ask, Related searches, Ads middle"
alimentos que no debe comer un diabetico,Informational,260,52,0.02,"Featured snippet, Image, Image pack, Video, People also ask, Related searches"
menu desayuno para diabeticos,Informational,210,19,0.00,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
