Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
sensación de algo atorado en la garganta después de comer,Informational,90,39,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
tengo un eructo atorado,Informational,90,35,0.00,"AI Overview, Image pack, Video, People also ask, Related searches"
porque se me regresa la comida despues de comer,Informational,170,26,0.00,"AI Overview, Image, Video carousel, People also ask, Related searches, Ads middle"
dificultad para deglutir,Informational,320,29,0.00,"AI Overview, Image, Video, Video carousel, People also ask, Related searches"
siento la comida en la garganta,Informational,260,33,0.00,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
un nudo en la garganta,Informational,170,30,0.00,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
medicamentos para la disfagia,Informational,140,18,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
globo histerico sintomas,Informational,260,35,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
porque siento la comida en la garganta,Informational,320,33,0.00,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
sentir algo atorado en la garganta,Informational,720,35,0.00,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
dificultad para tragar saliva ansiedad,Informational,90,22,0.00,"Featured snippet, Sitelinks, Image, Video, People also ask, Related searches, Ads bottom"
siento algo atorado en la garganta y eructo mucho,Informational,320,28,0.00,"AI Overview, Image pack, Video, People also ask"
porque me ahogo con mi saliva constantemente,Informational,260,20,0.00,"AI Overview, Image, Video, People also ask, Related searches"
se me cierra la garganta y no puedo hablar,Informational,390,32,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
paladear la garganta,Informational,50,21,0.00,"AI Overview, Image, Image pack, Video, People also ask"
siento algo atorado en la garganta como flema,Informational,720,24,0.00,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
porque me duele al tragar saliva,Informational,170,39,0.00,"AI Overview, Image, Video, People also ask, Related searches"
porque siento que traigo algo atorado en la garganta,Informational,110,31,0.00,"AI Overview, Image, Video, People also ask, Related searches"
me intentaron ahorcar y me duele la garganta,Informational,90,19,0.00,"Sitelinks, AI Overview, Image, Image pack, People also ask, Related searches"
disfagia orofaringea,Informational,720,19,0.00,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Knowledge panel, Related searches"
dolor al deglutir,Informational,140,23,0.00,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
garganta cerrada sin dolor,Informational,170,45,0.00,"Featured snippet, Sitelinks, Image, Image pack, Video, People also ask, Related searches"
disfagia definicion,Informational,210,17,0.00,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
que hacer cuando se te cierra la garganta,Informational,170,30,0.16,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
se cierra la garganta,Informational,90,41,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
sensacion de comida en la garganta,Informational,140,15,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
porque siento en la garganta como si tuviera algo atorado,Informational,110,25,0.00,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
