Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
sensación de algo atorado en la garganta después de comer,Informational,90,39,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
tengo un eructo atorado,Informational,90,35,0.00,"AI Overview, Image pack, Video, People also ask, Related searches"
dificultad para deglutir,Informational,320,29,0.00,"AI Overview, Image, Video, Video carousel, People also ask, Related searches"
siento la comida en la garganta,Informational,260,33,0.00,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
medicamentos para la disfagia,Informational,140,18,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
porque siento la comida en la garganta,Informational,320,33,0.00,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
sentir algo atorado en la garganta,Informational,720,35,0.00,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
dificultad para tragar saliva ansiedad,Informational,90,22,0.00,"Featured snippet, Sitelinks, Image, Video, People also ask, Related searches, Ads bottom"
siento algo atorado en la garganta y eructo mucho,Informational,320,28,0.00,"AI Overview, Image pack, Video, People also ask"
porque me ahogo con mi saliva constantemente,Informational,260,20,0.00,"AI Overview, Image, Video, People also ask, Related searches"
orofaringea,Informational,260,22,0.00,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
siento algo atorado en la garganta como flema,Informational,720,24,0.00,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
porque siento que traigo algo atorado en la garganta,Informational,110,31,0.00,"AI Overview, Image, Video, People also ask, Related searches"
disfagia orofaringea,Informational,720,19,0.00,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Knowledge panel, Related searches"
dolor al deglutir,Informational,140,23,0.00,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
disfagia definicion,Informational,210,17,0.00,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
ejercicios para disfagia,Informational,140,22,0.00,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
odinofagia causas,Informational,90,21,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
sensacion de comida en la garganta,Informational,140,15,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
porque siento en la garganta como si tuviera algo atorado,Informational,110,25,0.00,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
molestia al tragar como si tuviera algo,Informational,590,30,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
disfragia,Informational,140,22,0.00,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Related searches"
porque siento un nudo en la garganta,Informational,480,22,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
porque siento como si tuviera algo atorado en la garganta,Informational,480,27,0.00,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
se cura la disfagia,Informational,110,16,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
disfagia dibujos,Informational,110,24,0.00,"Image, Image pack, Video, People also ask"
diafagia,Informational,320,38,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches"
porque siento que tengo algo atorado en la garganta,Informational,480,23,0.00,"AI Overview, Image, Image pack, Video, Related searches"
