Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
nutricion clinica,Commercial,2400,22.0,0.63,"AI Overview, Video, Local pack, Related searches"
historia clinica nutricional,"Informational, Commercial",1900,14.0,0.0,"Image pack, Video, Related searches"
maestria en nutricion clinica,"Informational, Commercial",1600,23.0,0.85,"Video, Related searches"
clinica de nutricion,Commercial,480,22.0,0.43,"Image, Video, People also ask, Local pack, Related searches"
nutricion hospitalaria,Navigational,480,27.0,0.0,"Sitelinks, Image pack, Video, Related searches"
diplomado nutricion clinica,Commercial,390,12.0,1.0,"Sitelinks, Image pack, Video, Related searches, Ads bottom"
que es nutricion clinica,Informational,260,14.0,0.0,"AI Overview, Video, Video carousel, Related searches"
historia clinica nutricional pdf,"Informational, Commercial",260,18.0,0.0,"Image pack, Video, Related searches"
especialidad en nutrición clínica,Informational,210,21.0,1.07,"Video, Video carousel, People also ask, Related searches, Ads top, Ads bottom"
historia clinica nutricional formato,"Informational, Commercial",210,17.0,0.57,"Image pack, Video, Related searches"
especialidad en nutricion clinica,Informational,210,19.0,1.18,"Video, Video carousel, Related searches, Ads top, Ads bottom"
clinicos nutricion,Informational,210,28.0,0.37,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Knowledge panel, Related searches"
clínica alex alvarez dermoestética y nutrición,Navigational,210,39.0,0.0,"Sitelinks, Video, Knowledge panel"
historia clinica de nutricion,Informational,170,13.0,0.0,"Image pack, Video, Related searches"
ce nutre centro de nutrición clínica y bariatría,Navigational,140,38.0,0.0,"Sitelinks, Video, People also ask, Knowledge panel, Related searches"
clinica matsya yoga & nutrición,"Informational, Navigational",140,35.0,0.0,"Sitelinks, Image, Video, Knowledge panel, Related searches"
caso clínico nutricional,"Informational, Commercial",140,13.0,0.0,"Video, Related searches"
evaluación clinica nutricional,Informational,140,18.0,0.0,"AI Overview, Image pack, Video, Video carousel, Related searches"
formato de historia clinica nutricional,"Informational, Commercial",140,19.0,0.38,"Image, Image pack, Video, Related searches"
caso clinico nutricional,Informational,140,12.0,0.0,"Image, Video, Related searches"
historia clínica nutricional pediátrica,"Informational, Commercial",140,17.0,0.0,"Video, Related searches"
maestria en nutricion clinica insp,Informational,110,13.0,0.75,"Image pack, Video, Video carousel, Related searches"
